,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly)","Tilly Birds",80907,https://open.spotify.com/track/19KNYtZF0xP7VCIItvGSJZ
2,Butter,BTS,66012,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
3,Sunkissed,Urworld,57123,https://open.spotify.com/track/52h8p62Jx8KzQynM6heq7n
4,"แปะหัวใจ (14th Feb)",Jaonaay,52273,https://open.spotify.com/track/6GDI4Y8fOsptYwSW2iIUbe
5,"วัดปะหล่ะ? (Test Me)",4EVE,51882,https://open.spotify.com/track/0gEewSHZqPiNQa9DqeeUXj
6,"รู้งี้เป็นแฟนกันตั้งนานแล้ว (Safe Zone) - From ""แปลรักฉันด้วยใจเธอ Part 2""",Billkin,49272,https://open.spotify.com/track/24mB1soS8zLHLG1GK9Hvjd
7,"หลอกกันทั้งนั้น (Fake News) - From ""แปลรักฉันด้วยใจเธอ Part 2""","PP Krit",45272,https://open.spotify.com/track/0JK7pZajOQyfJ2OPxkrWbh
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",43948,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,Alcohol-Free,TWICE,43390,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj
10,"Leave The Door Open","Bruno Mars",42724,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
11,"ห่มผ้า (Hold Me Tight) - (From แปลรักฉันด้วยใจเธอ Part 2)","PP Krit",41146,https://open.spotify.com/track/7ts5grOLtVt9qJDRYPhzsq
12,"Next Level",aespa,40710,https://open.spotify.com/track/2zrhoHlFKxFTRF5aMyxMoQ
13,"หยอก หยอก",LUSS,39614,https://open.spotify.com/track/6tkhy9Be0jO98dyeJtlX8s
14,"สายตาหลอกกันไม่ได้ (Eyes don't lie)","Ink Waruntorn",39181,https://open.spotify.com/track/4CTgPJbgNQ031q8HzhTtq2
